Title,Available Globally?,Release Date,Hours Viewed,Number of Ratings,Rating,Genre,Key Words,Description
Shadow and Bone: Season 2,Yes,2023-03-16,192900000,111361.0,7.6,"['Action', 'Adventure', 'Drama']","magic,power,young woman,soldier,gay man",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
Outer Banks: Season 1,Yes,2020-04-15,184000000,76.0,7.1,"['Horror', 'Mystery', 'Sci-Fi']",,
Sweet Tooth: Season 2,Yes,2023-04-27,182300000,27.0,8.8,"['Family', 'History', 'Sport']","year in title,2000s,number in title",
You People,Yes,2023-01-27,181800000,60853.0,5.5,"['Comedy', 'Romance']","racial tension,black american,couple,love,life",
Perfect Match: Season 1,Yes,2023-02-14,176800000,300.0,7.3,['Romance'],"three word title,matchmaker",
Sex/Life: Season 2,Yes,2023-03-02,175500000,,,,,
The Marked Heart: Season 2 // Pálpito: Temporada 2,Yes,2023-04-19,174300000,8165.0,8.7,"['Drama', 'Horror', 'Thriller']","single player,xbox 360,microsoft windows,playstation 3,graphic adventure","Left to fend for herself, Clementine has been forced to learn how to survive in a world gone mad. Many months have passed and she is in search of safety."
Murder Mystery 2,Yes,2023-03-31,173600000,64053.0,5.7,"['Action', 'Comedy', 'Crime']","theft,murder,overnight success,private investigators,private eye",Full-time detectives Nick and Audrey are struggling to get their private eye agency off the ground. They find themselves at the center of international abduction when their friend Maharaja is kidnapped at his own lavish wedding.
The Surrogacy: Season 1 // Madre de alquiler: Temporada 1,No,2023-06-14,172400000,65.0,8.9,['Short'],,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the..."
"Pablo Escobar, el patrón del mal: Season 1",Yes,,170100000,,,,,
Never Have I Ever: Season 4,Yes,2023-06-08,168300000,49.0,6.8,['Comedy'],"party,teenager,sex comedy","Charlie Brandis leads a quiet and uneventful life as a wallflower. His parents trust him, his friends like him, girls are indifferent toward him. Then there&apos;s the girl he&apos;s watched from afar, Annie Briggs, who doesn&apos;t even know he..."
Your Place or Mine,Yes,2023-02-10,163000000,36862.0,5.7,"['Comedy', 'Romance']","friend,best friend,volunteer,teenager,son",
Chiquititas (2013),No,,162000000,257.0,5.2,"['Drama', 'Family', 'Musical']","manor,orphan,escape,kidnapping,schoolgirl","The orphans living at the manor known as Raio de Luz have their tough reality transformed by a sweet-hearted, dedicated young woman."
Emily in Paris: Season 3,Yes,2022-12-21,161100000,112694.0,6.9,"['Comedy', 'Drama', 'Romance']","female protagonist,character name in series title,american in france,location in series title,marketing",A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
Alice in Borderland: Season 2 // 今際の国のアリス: シーズン2,Yes,2022-12-22,157600000,119246.0,6.2,"['Adventure', 'Family', 'Fantasy']","alice character,caterpillar character,the mad hatter character,march hare character,dormouse character",
Alchemy of Souls: Part 1 // 환혼: 파트 1,Yes,2022-06-18,155300000,,,"['Action', 'Adventure', 'Drama']","planet,moon,space,galaxy,young","When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival."
Outer Banks: Season 2,Yes,2021-07-30,153900000,74403.0,7.5,"['Action', 'Crime', 'Drama']","treasure,treasure map,treasure hunt,coming of age,young","On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father&apos;s disappearance."
New Amsterdam (2018): Season 1,No,,153000000,,,['Short'],drone,
Til Money Do Us Part: Season 1 // Hasta que la plata nos separe: Temporada 1,No,2022-10-19,152100000,650.0,7.9,"['Animation', 'Action', 'Adventure']","betrayal by a friend,betrayal,magneto character,morph character,shapeshifter",Jean and Scott get married. Newly elected President Kelly has freed Beast who has been incarcerated since the attack on government facility at the beginning of Season 1 and added him as part of his Presidential cabinet. Another fr...
Mr. Queen // 철인왕후,No,,151500000,7000.0,4.7,"['Comedy', 'Drama', 'Romance']","two word title,2000s,male to female cross dressing,nba,national basketball association",A star basketball player decides to dress up as a woman and join the women&apos;s professional basketball league when his on-court antics get him suspended.
Manifest: Season 1,No,2021-06-10,151400000,,,,,
Alchemy of Souls: Part 2 // 환혼: 파트 2,Yes,2022-12-10,150200000,344.0,6.0,"['Adventure', 'Comedy', 'Family']","rapping animal,rapping penguin,talking animal,talking penguin,sequel","Follows Ida and Benni, who attend to The Winterstein School, which is no ordinary school, and must team together with their magical animals to solve the puzzle of mysterious holes that appeared on the school grounds."
PAW Patrol: Season 6,No,,149300000,38.0,5.2,"['Short', 'Drama', 'Western']","low budget short,gang,santa fe trail series,male female relationship,u.s. marshal",A cavalry officer is framed for the murder of a fellow officer and cashiered out of the army. After he gets out of prison he vows to find the renegade who framed him and bring him to justice.
The Good Bad Mother: Limited Series // 나쁜엄마: 리미티드 시리즈,Yes,2023-04-26,148600000,3849.0,8.4,"['Comedy', 'Crime', 'Drama']","tragedy drama,sitcom comedy","A tragic accident leaves an ambitious prosecutor with the mind of a child, forcing him and his mother to embark on a journey to heal their relationship."
The Recruit: Season 1,Yes,2022-12-16,146900000,11869.0,8.4,['Short'],,
Bloodhounds: Season 1 // 사냥개들: 시즌 1,Yes,2023-06-09,146700000,,,"['Documentary', 'History']",,
Glass Onion: A Knives Out Mystery,Yes,2022-12-23,142900000,419661.0,7.1,"['Comedy', 'Crime', 'Drama']","sequel,detective,benoit blanc character,twin sister,private island",
Wrong Side of the Tracks: Season 2 // Entrevías: Temporada 2,No,2023-03-01,140100000,102.0,4.9,['Horror'],,
Black Mirror: Season 6,Yes,2023-06-15,139900000,,,,,
Triptych: Season 1 // Tríada: Temporada 1,Yes,2023-02-22,139300000,,,,,
The Walking Dead: Season 11,No,,136800000,1058121.0,8.1,"['Drama', 'Horror', 'Thriller']","zombie,survival,post apocalypse,based on comic,zombie apocalypse",Sheriff Deputy Rick Grimes wakes up from a coma to learn the world is in ruins and must lead a group of survivors to stay alive.
Bridgerton: Season 1,Yes,2020-12-25,136600000,,,,,
CoComelon: Season 1,No,2020-05-31,136200000,,,,,
Extraordinary Attorney Woo: Season 1 // 이상한 변호사 우영우: 시즌 1,Yes,2022-06-29,135900000,27.0,9.4,['Short'],,
The Snow Girl: Season 1 // La chica de nieve: Temporada 1,Yes,2023-01-27,134800000,15.0,5.6,"['Animation', 'Short']",,
Stranger Things 4,Yes,2022-05-27,133600000,18.0,9.4,"['Drama', 'Fantasy', 'Horror']",,
The Marked Heart: Season 1 // Pálpito: Temporada 1,Yes,2022-04-20,133500000,120.0,5.9,"['Crime', 'Drama']","british noir,b movie,forgery plates,kidnapping a girl,rape and sexual intercourse innuendo",Villain&apos;s kidnap a man&apos;s daughter in order to get hold of forgery plates which they believe to be in his possession.
Bridgerton: Season 2,Yes,2022-03-25,133400000,,,,,
Little Angel: Volume 1,Yes,,132100000,,,['Short'],,"There are so many letters from A-Z! With help from their angelic pals, Alex and Zoe learn about the alphabet."
PAW Patrol: Season 5,No,,130700000,,,,,
Pasión de Gavilanes: Season 1,No,,129200000,1544.0,6.1,"['Animation', 'Short', 'Adventure']","controversy,girl,laundry drying on a clothesline,african american,clothesline",
Suits (2011): Season 1,Yes,,129100000,,,['Sport'],"year in title,2010s,2000s,2020s,number in title",A review of Arsenal&apos;s 2011/2012 football season.
Sex/Life: Season 1,Yes,2021-06-25,126400000,,,,,
We Have a Ghost,Yes,2023-02-24,124400000,31282.0,6.1,"['Adventure', 'Comedy', 'Drama']","ghost,house,chase,car chase,based on short story","Finding a ghost named Ernest haunting their new home turns Kevin&apos;s family into overnight social media sensations. But when Kevin and Ernest investigate the mystery of Ernest&apos;s past, they become a target of the CIA."
You: Season 1,Yes,2018-12-26,123500000,23.0,8.3,['Short'],,
Business Proposal: Season 1 // 사내맞선: 시즌 1,Yes,2022-02-28,120700000,382.0,7.1,"['Documentary', 'Short']","year 1943,1940s,20th century,actor,war bond",
The Pale Blue Eye,Yes,2023-01-06,120500000,118352.0,6.6,"['Crime', 'Horror', 'Mystery']","murder,year 1830,1830s,19th century,winter","A world-weary detective is hired to investigate the murder of a West Point cadet. Stymied by the cadets&apos; code of silence, he enlists one of their own to help unravel the case - a young man the world would come to know as Edgar All..."
Crash Landing on You: Season 1 // 사랑의 불시착: 시즌 1,Yes,2019-12-14,120300000,14.0,5.9,['Short'],"sparring partner,balloon,professional wrestling,training camp,tent","Joe Palooka and Strangler Chokeovitch have set up training camps on adjacent beachfront sites. When Joe knocks out the Strangler after a misunderstanding, Chokeovitch&apos;s manager challenges the champ to a professional wrestling bout..."
AKA,Yes,2023-04-28,120000000,,,,,
MH370: The Plane That Disappeared: Limited Series,Yes,2023-03-08,118900000,13216.0,6.1,['Documentary'],"year 2014,malaysia airlines flight mh370,airplane,investigation,missing",
Queenmaker: Season 1 // 퀸메이커: 시즌 1,Yes,2023-04-14,118600000,,,,,
Vikings: Valhalla: Season 1,Yes,2022-02-25,116500000,6.0,8.6,['Sport'],,
Breaking Bad: Season 2,No,,116200000,,,,,
Muted: Limited Series // El silencio: Miniserie,Yes,2023-05-19,115800000,,,,,
Lockwood & Co.: Season 1,Yes,2023-01-27,113600000,7.0,9.0,"['Short', 'Drama']",,"After a lonely old man is given an opportunity to prove that he can be a responsible grandparent, he struggles to protect his grandson from his ruthless neighbours."
You: Season 3,Yes,2021-10-15,107200000,262.0,5.4,"['Family', 'Musical', 'Animation']","junk man,junk,junk wagon,city dump,landfill",A mannequin in the city dump improvises a piano from the junk to play and sing the title song The various animals and pieces of junk all join in.
Breaking Bad: Season 5,No,,107000000,681.0,8.3,['Documentary'],"behind the scenes,making of,reference to breaking bad","An extensive, detailed account on the incredible legacy Breaking Bad created before it had even ended, whilst documenting in intimate detail the filming of its final season."
Suits (2011): Season 2,Yes,,106600000,,,['Sport'],"year in title,2010s,2000s,2020s,number in title",A review of Arsenal&apos;s 2011/2012 football season.
Murdaugh Murders: A Southern Scandal: Season 1,Yes,2023-02-22,104600000,9835.0,6.8,"['Documentary', 'Crime']","rich family,crime documentary,scandal,south carolina,double murder",Shocking tragedies shatter a tight-knit South Carolina community and expose the horrifying secrets of its most powerful family.
Welcome to Eden: Season 2 // Bienvenidos a Edén: Temporada 2,Yes,2023-04-21,104500000,,,['Drama'],,"Antonio is finally free from his father&apos;s ranch hard work. As soon as he turn 17, he moves out, seeking success and adventure in the city of stars called Eden where he meets the girl of his dreams. Once settle there, he gets to kn..."
Breaking Bad: Season 3,No,,104300000,20.0,7.4,"['Comedy', 'Music', 'Talk-Show']",,
Lucifer: Season 3,No,2017-10-03,102800000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
CoComelon: Season 2,No,2020-12-17,102300000,,,,,
Café con aroma de mujer: Season 1,No,2021-12-29,101700000,740.0,7.6,"['Drama', 'Romance']",,
Love to Hate You: Season 1 // 연애대전: 시즌 1,Yes,2023-02-10,99900000,426880.0,7.0,['Comedy'],"prom,sex comedy,female masturbation,female nudity,teen sex comedy",
The Blacklist: Season 1,No,,99900000,65.0,8.9,['Short'],,"Celebrate the enduring, powerful character of Special Agent Dana Scully, M.D, the scientific phenomenon that she inspired for young women all over the globe, and the importance of female representation both in front and behind the..."
Shadow and Bone: Season 1,Yes,2021-04-23,99500000,111361.0,7.6,"['Action', 'Adventure', 'Drama']","magic,power,young woman,soldier,gay man",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.
"The Unbroken Voice: Season 1 // Canto para no llorar, Arelys Henao: Temporada 1",No,2022-11-23,99000000,,,"['Short', 'Comedy']",,
Designated Survivor: Season 1,Yes,2016-09-22,98500000,155.0,6.4,['Documentary'],,"This video feature shows highlights from the first season on the Survivor television show. Each castaway is featured in the order they were voted off, starting with clips from their auditions to the time they give their final rema..."
The Interest of Love: Limited Series // 사랑의 이해: 리미티드 시리즈,Yes,2022-12-21,97800000,16.0,7.2,['Comedy'],"parody comedy,spoof","Lost in the middle of nowhere, an eclectic band of characters try to figure out where they are, why they are there and just what went wrong, exactly. Zach wakes up to discover he is lost and abandoned in the middle of the desert. ..."
Wrong Side of the Tracks: Season 1 // Entrevías: Temporada 1,No,2022-05-20,97600000,102.0,4.9,['Horror'],,
Minions: The Rise of Gru,No,,96400000,80958.0,6.5,"['Animation', 'Adventure', 'Comedy']","sequel to spin off,despicable me&apos;s minion character,supervillainess,supervillain,chinese zodiac",The untold story of one twelve-year-old&apos;s dream to become the world&apos;s greatest supervillain.
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc // 鬼滅の刃: 竈門炭治郎 立志編",No,,95800000,,,,,
The Blacklist: Season 9,No,,95700000,14.0,6.0,"['Documentary', 'Short']",dvd extra,
That '90s Show: Part 1,Yes,2023-01-19,95100000,174.0,6.4,"['Drama', 'Western']","spaghetti western,italo western,eastern,ostern,second part","The last of a two-part film centered on the life and career of John Reed, the revolutionary communist journalist."
You: Season 2,Yes,2019-12-26,95000000,,,['Short'],,A behind-the-scenes special feature looking at the city of New Orleans as a character in itself on the show.
La Reina del Sur: Season 1,No,2011-09-05,94700000,3323.0,7.9,"['Action', 'Crime', 'Drama']","telenovela,drug trafficking,cartel,femme fatale,kidnapping",Teresa Mendoza returns to Mexico after 8 years to fight with Mexican drug dealers.
All of Us Are Dead: Season 1 // 지금 우리 학교는: 시즌 1,Yes,2022-01-28,94600000,14591.0,9.2,"['Drama', 'Horror', 'Sci-Fi']","interactive drama,playstation 3,xbox 360,microsoft windows,single player","In a world devastated by the undead, a convicted criminal is given a second chance at life when he comes across a little girl named Clementine."
New Amsterdam (2018): Season 2,No,,94400000,,,"['Documentary', 'Sport']","year in title,sports fan,coach,new york yankees,world series",The New York Yankees rose to the top in 2009 with a mix of loyal veterans and newcomers and won the World Series. This DVD takes you step by step through the season from spring training until the final out.
Black Knight: Season 1 // 택배기사: 시즌 1,Yes,2023-05-12,94300000,1544.0,6.1,"['Animation', 'Short', 'Adventure']","controversy,girl,laundry drying on a clothesline,african american,clothesline",
Breaking Bad: Season 4,No,,94300000,681.0,8.3,['Documentary'],"behind the scenes,making of,reference to breaking bad","An extensive, detailed account on the incredible legacy Breaking Bad created before it had even ended, whilst documenting in intimate detail the filming of its final season."
Obsession: Limited Series,Yes,2023-04-13,94200000,,,,,
Who Were We Running From?: Limited Series // Biz Kimden Kaçıyorduk Anne?: Mini Dizi,Yes,2023-03-24,92900000,3873.0,5.8,"['Crime', 'Drama', 'Mystery']","psychological drama,overprotective mother,cult,hotel,peer pressure","Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat."
La Reina del Sur: Season 2,No,2019-08-16,92500000,7627.0,5.2,"['Comedy', 'Drama', 'Music']","dancer,dance,female protagonist,numbered sequel,sequel","Recently released from juvenile detention, talented dancer Maria Ramirez finds an outlet for her passion with a new dance crew."
Hunger // คนหิว เกมกระหาย,Yes,2023-04-08,92300000,,,,,
Alice in Borderland: Season 1 // 今際の国のアリス: シーズン1,Yes,2020-12-10,92200000,,,"['Short', 'Action', 'Drama']",,"A deleted scene cut from &apos;Angel: Season 3, Episode 13 - Waiting in the Wings&apos;."
CoComelon: Season 3,No,2021-05-31,91400000,,,,,
Firefly Lane: Season 1,Yes,2021-02-03,91200000,,,,,
Women at War: Limited Series // Les Combattantes: Mini-série,Yes,2022-10-27,90800000,68.0,6.6,"['Short', 'Drama', 'War']","wacs,war widow,war game,male female relationship,father daughter relationship","Three young women join the newly formed Women&apos;s Army Corps (WACS) for varied reasons, and make contributions to the war effort."
Formula 1: Drive to Survive: Season 5,Yes,2023-02-24,90200000,48370.0,8.5,"['Documentary', 'Sport']","f1,formula 1,motor sports,car race,championship",Docuseries following the FIA Formula One World Championship across multiple seasons.
Sweet Tooth: Season 1,Yes,2021-06-04,89000000,27.0,8.8,"['Family', 'History', 'Sport']","year in title,2000s,number in title",A look at the 2001 Seattle Mariners who tied Major League Baseballs modern day record for most wins in a season with 116.
S.W.A.T. (2017): Season 1,No,,88600000,,,['Documentary'],"year in title,2010s,2000s,2020s,number in title",
Murder Mystery,Yes,2019-06-14,87900000,163191.0,6.0,"['Action', 'Comedy', 'Crime']","murder,boat,detective,hairdresser,gun",
True Beauty // 여신강림,No,,87300000,,,"['Short', 'Drama']",vision,"Sheila, a skilled painter, loses her vision and has to re-find her connection to her artwork."
Squid Game: Season 1 // 오징어 게임: 시즌 1,Yes,2021-09-17,87200000,251.0,1.6,"['Short', 'Comedy']",,
Little Angel: Volume 2,Yes,,86200000,,,"['Animation', 'Short']","religion,children",This inspirational and educational program for preschoolers offers animated adaptations of biblical stories.
Manifest: Season 2,No,2021-06-10,86200000,,,,,
Extraction,Yes,2020-04-24,86100000,255235.0,6.8,"['Action', 'Thriller']","drug dealers,kidnapping,child kidnapping,shot in the head,bangladesh","Tyler Rake, a fearless black market mercenary, embarks on the most deadly extraction of his career when he&apos;s enlisted to rescue the kidnapped son of an imprisoned international crime lord."
Lucifer: Season 2,No,2017-08-31,86100000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
Lady Voyeur: Limited Series // Olhar Indiscreto: Minissérie,Yes,2022-12-31,86000000,,,,,
Woman of the Dead: Season 1 // Totenfrau: Season 1,Yes,2022-11-15,85400000,28647.0,7.6,"['Comedy', 'Drama', 'Horror']","single take,zombie,film crew,television broadcast,rooftop","Things go badly for a hack director and film crew shooting a low budget zombie movie in an abandoned WWII Japanese facility, when they are attacked by real zombies."
The Law According to Lidia Poët: Season 1 // La legge di Lidia Poët: Stagione 1,Yes,2023-02-15,85000000,7057.0,7.4,"['Biography', 'Crime', 'Drama']","lawyer,19th century,legal,legal drama,legal battle",
Florida Man: Limited Series,Yes,2023-04-13,84600000,,,,,
Lucifer: Season 1,No,2017-07-23,84400000,,,['Comedy'],devil,The Devil&apos;s son decides to make Hell more up-to-date and with it.
Shahmaran: Season 1 // Şahmaran: Season 1,Yes,2023-01-20,83600000,,,,,
Breaking Bad: Season 1,No,,83200000,,,"['Comedy', 'Talk-Show']",,"In the very first episode of MovieDude98 Reviews&apos; history, Sean sums up what he has to say on Season 1 of hit show Breaking Bad."
The Last Kingdom: Seven Kings Must Die,Yes,2023-04-14,83200000,33179.0,6.9,"['Action', 'Drama', 'History']","anglo saxon,kingdom,exploration,warrior,epic","In the wake of King Edward&apos;s death, Uhtred of Bebbanburg and his comrades adventure across a fractured kingdom in the hopes of uniting England at last."
Selling Sunset: Season 6,Yes,2023-05-19,82800000,,,,,
CoComelon: Season 4,No,2021-10-14,82500000,,,,,
Suits (2011): Season 3,Yes,,82500000,,,['Documentary'],glasgow rangers,Highlights of Glasgow Rangers 2010/11 Season.
Sam & Cat: Season 1,No,,82400000,5484.0,8.2,"['Biography', 'Drama', 'War']","life,army",Revolves around the high and low points of Sam Manekshaw who became the first Indian Army officer to be promoted to the rank of Field Marshal.
Gilmore Girls: Season 1,Yes,,82100000,130.0,6.6,"['Musical', 'Short']","underwater scene,waterfall,precision,swimming,march",This Warner Bros. short film shows the process that studios use to select women for the chorus line in movie musicals. It then presents a few clips of chorus lines in Busby Berkeley production numbers from 1930s Warner Bros. music...
Sonic Prime: Season 1,Yes,2022-12-15,82100000,2247.0,7.3,"['Animation', 'Action', 'Adventure']","fast,based on video game,sonic the hedgehog,anthropomorphic animal,sonic the hedgehog character",Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.
Peppa Pig: Season 1,No,,81800000,982.0,7.7,"['Animation', 'Short', 'Adventure']","hotel,tying bedsheets,reference to dick tracy,star cameo,horseshoe in a glove",
Manifest: Season 3,No,2021-08-21,81700000,,,,,
Roald Dahl's Matilda The Musical,Yes,2022-12-25,81000000,26853.0,7.0,"['Comedy', 'Drama', 'Family']","library,hero,genius,school,singing","An adaptation of the Tony and Olivier award-winning musical. Matilda tells the story of an extraordinary girl who, armed with a sharp mind and a vivid imagination, dares to take a stand to change her story with miraculous results."
Better Call Saul: Season 6,No,2022-04-19,80800000,620143.0,9.0,"['Crime', 'Drama']","lawyer,spin off,psychosomatic illness,criminal lawyer,drug trade",The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.
Sing (2016),No,,80500000,186094.0,7.1,"['Animation', 'Comedy', 'Family']","singing,jukebox musical,furry,singing contest,anthropomorphic animal",
Hajime no Ippo: The Fighting!: Season 1 // はじめの一歩: シーズン1,No,,80300000,9.0,7.6,"['Action', 'Sport']",,
All Quiet on the Western Front // Im Westen nichts Neues,Yes,2022-10-28,80000000,66750.0,8.1,"['Drama', 'War']","1910s,anti war,shell shock,ptsd post traumatic stress disorder,depression","A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
Sky High: The Series: Season 1 // Hasta el cielo: La serie: Season 1,Yes,2023-03-17,79700000,,,['Sci-Fi'],"virtual reality,epic","In the distant future, humanity populates the far reaches of the universe. Now they are the target of an unknown enemy and only one group of mercenaries can save them - The PhoenIX."
Alpha Males: Season 1 // Machos alfa: Season 1,No,2022-12-30,78200000,,,"['Documentary', 'Short', 'Horror']","reference to walter hill,reference to joel silver,reference to richard donner,reference to robert zemeckis",This documentary is included on the Tales from the Crypt: The Complete First Season One DVD.
Record of Ragnarok: Season 2 // 終末のワルキューレ: シーズン２,No,2023-01-26,78200000,237.0,9.3,"['Documentary', 'Short']",,
Chupa,Yes,2023-04-07,77800000,6886.0,5.5,"['Action', 'Adventure', 'Drama']","young,teenager,young boy,teenage boy,mexico",
Stranger Things,Yes,2016-07-15,77800000,104.0,7.1,['Drama'],"title co written by female,title co directed by female,f rated","An unusual and touching bond develops when grieving Oona reaches out to a mysterious homeless man, offering him a place to stay in her garden shed."
Paw Patrol: The Movie,No,,77200000,3893.0,6.0,"['Animation', 'Action', 'Adventure']","dog,second part,based on tv series,based on cartoon,cgi animation","A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups"
Sing 2,No,,76600000,81973.0,7.4,"['Animation', 'Adventure', 'Comedy']","koala,porcupine,gorilla,pig,elephant",Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
The Crown: Season 5,Yes,2022-11-09,76300000,,,,,
Next in Fashion: Season 2,Yes,2023-03-03,75700000,284.0,7.5,"['Documentary', 'Short']",,Journey to Northern Ireland for this look at the breathtaking locations used in the hit HBO series &apos;Game of Thrones.&apos;
Gilmore Girls: Season 2,Yes,,75200000,15.0,8.2,"['Short', 'Comedy']",,
Lucifer: Season 5,No,2020-08-21,75200000,,,,,
The Boss Baby,No,,75100000,137978.0,6.3,"['Animation', 'Adventure', 'Comedy']","baby,brother brother relationship,talking baby,close up of eye,puppy","A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co."
Treason: Limited Series,Yes,2022-12-26,74300000,,,,,
Trolls,No,,73400000,6673.0,6.0,"['Animation', 'Adventure', 'Comedy']","cgi animation,3d,3 dimensional,cg animation,slimehouse","Poppy discovers that Branch was once part of the boy band &apos;BroZone&apos; with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue F..."
Blood Ties: Season 1 // Las Villamizar: Season 1,No,,73300000,113.0,8.6,"['Crime', 'Drama', 'Mystery']",,
